Date,Rainfall (mm/day),seasonal,WL
9/20/2021,10.16,0.022795703,0.053171042
9/21/2021,0,0.024126972,0.05439135
9/22/2021,0,0.025376176,0.055622842
9/23/2021,0,0.026529639,0.056867925
9/24/2021,0.762,0.027573682,0.058129005
9/25/2021,0,0.028494628,0.059408487
9/26/2021,0,0.029278801,0.06070878
9/27/2021,0,0.029912521,0.062032289
9/28/2021,0,0.030382113,0.06338142
9/29/2021,0,0.030673898,0.06475858
9/30/2021,0.762,0.030774199,0.066166176
10/1/2021,0,0.030742922,0.067606613
10/2/2021,0,0.030651843,0.069082298
10/3/2021,0,0.030505086,0.070595638
10/4/2021,0,0.030306774,0.072149039
10/5/2021,0,0.030061032,0.073744908
10/6/2021,0,0.029771985,0.07538565
10/7/2021,0,0.029443757,0.077073672
